RakeKeyWords
"['ramping', 'movement', 'fuel', 'decided', 'saturday', 'trump', 'support', 'earned', 'primary', '26']"
"['busy', 'probably', 'found', 'time', 'adaptation', 'dissolution', 'monastery', '1530s', 'take', 'look']"
"['end', '2023', 'saving', 'wednesday', 'maintain', '03', '2021', 'expected', 'rise', 'export']"
"['37', 'february', 'sign', 'triple', 'january', 'expected', 'come', '40', 'shift', 'entering']"
"['urged', 'fix', 'secure', 'boost', 'enabling', 'parent', 'carers', 'work', 'runup', 'struggle']"
"['mind', 'caucus', 'showed', 'inside', 'issue', 'mattered', 'listed', 'series', 'yemen', 'war']"
"['february', 'apparently', 'employee', 'call', 'sick', 'timing', 'office', 'looking', 'work', 'view']"
"['boosting', 'floor', 'seems', 'remind', 'leader', 'one', 'economy', 'healthier', 'gain', 'learning']"
"['sued', 'case', 'mirror', 'uber', 'pound', 'fine', 'call', 'claimant', 'handled', 'working']"
"['make', 'transition', 'country', 'conservative', 'labour', 'backtrack', 'entrepreneur', 'wa', 'danger', 'progress']"
"['farmer', 'among', 'monday', 'pay', 'condition', 'cut', 'struggling', 'shortterm', 'along', 'divided']"
"['used', 'rebuild', 'cost', 'recovery', 'reconstruction', 'war', 'caused', 'economy', 'shrink', '25']"
"['year', 'reveal', 'hard', 'get', 'jobseeker', '54', 'day', '43', 'airborne', 'pushed']"
"['mess', 'millennials', 'knew', 'fact', 'admit', 'life', 'parent', 'evident', 'compare', 'mother']"
"['eclipsed', 'germany', '2023', 'adjusted', 'inflation', '45tn', 'decade', 'attributed', 'dollar', 'profit']"
"['lift', 'sank', 'recession', '2023', 'many', 'problem', 'longstanding', 'included', 'spending', 'persuade']"
"['grapple', 'fading', 'year', 'manage', 'guide', 'recession', 'increase', 'november', 'reading', '150000']"
"['stronger', '2024', '2023', 'use', '03', 'january', 'eurozone', 'put', 'prospect', 'cut']"
"['way', 'surprisingly', 'candidate', 'ganging', 'trust', 'man', 'say', 'bad', 'american', 'point']"
"['uk', 'year', 'lead', 'ai', 'likely', 'generate', 'twice', 'colleague', 'continuation', 'finding']"
"['value', 'much', 'back', 'wa', 'moment', 'monday', 'us1', 'people', 'japan', 'import']"
"['repay', 'downgraded', 'said', 'crisis', 'revive', 'bail', 'local', 'struggling', 'growth', 'outlook']"
"['britain', 'ramping', 'pressure', 'action', 'country', 'economy', 'combined', 'size', 'russia', 'make']"
"['speech', 'received', 'davos', 'putin', 'peace', 'would', 'respond', 'ukraine', 'meeting', 'warning']"
"['germany', 'track', 'impact', 'economy', 'contributed', 'stage', 'put', 'damper', 'president', 'berlin']"
"['american', 'economy', 'voter', 'believe', 'may', 'changing', 'month', 'counter', 'much', 'biden']"
"['buying', 'selling', 'go', 'entered', 'realm', 'cant', 'thought', 'market', 'even', 'say']"
"['think', 'lead', 'politics', 'battled', 'week', 'added', 'come', 'hard', 'answer', 'dry']"
"['armed', 'take', 'shot', 'world', 'lapsis', 'advancement', 'support', 'set', 'enter', 'cablers']"
"['official', 'brussels', 'week', 'block', 'ukraine', 'policy', 'blackmail', 'pursued', 'lead', 'bloc']"
"['brink', 'collapse', 'u', 'trillion', 'dollar', 'descend', 'cost', 'may', 'annihilation', 'gain']"
"['way', 'research', 'head', 'excellence', 'found', 'embarrassing', 'local', 'slowing', 'likely', 'affect']"
"['release', 'start', '2023', 'february', 'wa', 'cost', 'coming', 'u', 'around', 'world']"
"['business', 'fail', 'solve', '2008', '2019', 'according', 'monday', 'began', 'onset', 'another']"
"['eye', 'treasury', 'week', 'estimate', '2023', 'contraction', 'government', 'disaster', 'second', 'end']"
"['china', 'cracking', 'sector', 'month', 'ha', 'instruction', 'posting', 'comment', 'badmouth', 'economy']"
"['bad', 'worse', '08', 'marking', 'china', 'flat', 'spending', 'property', 'driver', 'growth']"
"['reputation', 'britain', 'u', 'germany', 'need', 'reality', 'already', 'answer', 'stable', 'economy']"
"['like', 'impact', 'propel', 'forward', 'shut', 'result', 'cost', 'borrowing', 'bank', 'change']"
"['closing', 'year', 'quantify', 'investing', 'economy', 'quality', 'woman', 'able', 'workforce', 'lifetime']"
"['july', 'impact', 'consumer', 'office', 'slowdown', 'slump', 'country', 'output', 'employment', 'reaction']"
"['fear', '12', 'crash', 'result', 'hasnt', 'reflected', 'even', 'hint', 'recession', 'part']"
"['day', 'gain', '06', 'mean', 'row', 'quite', 'track', 'close', '11th', 'match']"
"['friday', 'proof', 'strongest', 'world', 'downturn', 'figure', 'released', 'growth', 'january', 'month']"
"['fittingly', 'brink', 'recession', 'come', 'bank', 'england', 'meant', 'hurt', 'summer', 'tightened']"
"['little', 'celebrate', 'november', 'drop', '03', 'october', 'considered', 'reliable', 'end', '15']"
"['taken', 'get', 'verge', 'promising', 'economist', 'year', 'least', 'version', 'detail', 'idea']"
"['expected', 'face', 'september', 'july', 'august', '236000', 'fading', 'control', 'manage', 'guide']"
"['government', 'matter', 'time', 'sentence', 'carried', 'thats', 'way', 'round', 'runup', 'lost']"
"['passing', 'week', 'island', 'ire', 'china', 'month', 'delay', 'law', '95bn', 'aid']"
"['economy', 'result', 'war', 'israel', 'hamas', '85', 'assessment', '16', 'wa', 'food']"
"['cost', 'world', 'catalogue', 'woe', 'sense', 'ha', 'repeat', 'pandemic', '2020', '2021']"
"['cost', 'year', 'estimated', '26bn28bn', '01', 'action', 'taken', 'study', 'said', 'economic']"
"['80m', 'part', 'statement', 'score', 'organisation', 'designed', 'investigate', 'need', 'done', 'maintain']"
"['continued', 'finance', 'expansion', 'tune', 'billion', 'commitment', 'climate', 'developed', '2020', 'friend']"
"['engine', 'described', 'indicated', 'come', 'end', 'recession', 'clue', 'long', 'eye', 'released']"
"['share', '14', 'tuesday', 'world', 'liability', '99', 'monday', 'try', 'restructure', 'u']"
"['beginning', 'stabilise', 'peak', 'manufacturing', 'household', 'bank', 'england', 'paused', 'economy', 'cost']"
"['bigger', 'rwanda', 'tax', 'economy', 'one', 'way', 'looking', 'soon', 'fuss', 'far']"
"['deciding', 'make', 'reboot', 'doctor', 'felt', 'risky', 'tackling', 'impact', 'report', 'regeneration']"
"['statement', 'obvious', 'badly', 'need', 'fixing', 'introduce', 'partnership', 'business', 'say', 'would']"
"['doddle', 'recession', 'receded', 'american', 'job', 'ever', 'inflation', 'comfortably', 'sort', 'yet']"
"['eurozone', 'teetering', 'brink', '01', '2023', 'worse', 'failed', 'grow', 'three', 'economy']"
"['city', 'dinner', 'vain', 'conservative', 'nearly', 'century', 'aftershock', 'form', '2018', 'listen']"
"['half', 'speculation', 'confirm', 'leadership', 'bolster', 'analysis', 'thinktanks', 'billion', 'year', 'needed']"
"['copenhagen', '340bn', '323bn', 'year', 'surge', 'value', 'order', 'rein', 'currency', 'krone']"
"['revision', 'germany', 'france', 'boost', 'office', 'end', 'year', 'august', 'ons', 'estimated']"
"['meet', 'brussels', 'put', 'economy', 'urgency', 'immediacy', 'war', 'past', 'day', 'euro']"
"['hot', 'cool', 'friday', 'june', 'wa', 'learned', 'newsmax', 'want', '5', 'doubled']"
"['side', 'atlantic', 'come', 'recession', 'uk', 'drop', 'inflation', '2024', '32', 'november']"
"['jordan', 'alongside', 'handful', 'sunday', 'drone', 'fired', 'iran', '99', 'threat', 'intercepted']"
"['columbia', 'refusing', 'leave', 'arrest', 'chain', 'reestablishment', 'encampment', 'try', 'reset', 'situation']"
"['final', 'stage', 'tense', 'malm', 'saturday', 'one', 'day', 'demonstration', 'decision', 'protest']"
"['war', 'hamas', 'egypt', 'stay', 'bifurcates', 'sunday', 'order', 'preserve', 'action', 'ability']"
"['killed', 'among', 'dead', 'reuters', 'reporting', 'martyrdom', 'injury', 'number', 'civilian', 'public']"
"['heightened', 'deal', 'killing', 'week', 'airstrike', 'syria', 'precaution', 'accordance', 'ha', 'decided']"
"['boycott', 'always', 'place', 'juxtaposition', 'city', 'take', 'biennale', 'touched', 'wednesday', 'handing']"
"['read', 'uk', 'striking', 'blow', 'palestine', 'behaving', 'always', 'one', 'thoughtful', 'column']"
"['world', 'crack', 'dissent', 'concern', 'see', 'tool', 'harm', 'country', 'experimented', 'technology']"
"['airstrikes', 'iran', 'friday', 'explosion', 'reported', 'sky', 'city', 'isfahan', 'tabriz', 'play']"
"['volume', 'intensity', 'assault', 'munition', 'threatening', 'halt', 'hard', 'come', 'partly', 'u']"
"['fact', 'many', 'parent', 'reading', 'nazi', '1930s', 'used', 'expletive', 'vietnam', 'neither']"
"['investor', 'discus', 'response', 'price', 'barrel', '8964', 'monday', '09', 'friday', 'missile']"
"['potential', 'turn', 'crisis', 'gaza', 'u', 'scenario', 'western', 'israel', 'pas', 'one']"
"['eurovision', 'united', 'music', 'malm', 'heal', 'runup', 'slot', 'put', 'investigation', 'incident']"
"['resident', 'head', 'evacuate', 'number', 'neighbourhood', 'rafah', 'demand', 'end', 'war', 'exchange']"
"['remark', 'israel', 'contain', 'fallout', 'leak', 'tuesday', 'labour', 'candidate', 'support', 'month']"
"['handful', 'support', 'million', 'dollar', 'recruited', 'number', 'lawmaker', 'candidate', 'squad', 'group']"
"['iran', 'brink', 'war', 'israel', 'possibly', 'done', 'regime', 'prepare', 'people', 'may']"
"['war', 'gaza', 'held', 'candidacy', 'colleague', 'praise', 'nword', 'attacked', 'bid', 'block']"
"['germany', 'face', 'revoke', 'israel', 'thursday', 'lawsuit', 'put', 'pressure', 'scale', 'death']"
"['relief', 'preaching', 'purged', 'kwons', 'world', 'proclaim', 'crypto', 'become', 'regulator', 'problem']"
"['jury', 'verdict', 'day', 'kwon', 'attend', 'trial', 'ha', 'detained', 'way', 'dubai']"
"['trading', '72720', 'monday', 'would', 'object', 'permit', 'sale', 'cetns', 'member', 'public']"
"['convicted', 'leeds', 'cryptocurrency', 'thousand', '2017', 'employee', 'son', 'uk', 'attend', 'london']"
"['fall', 'trial', 'downfall', 'courtroom', 'allowed', 'commissioned', 'give', 'public', 'view', 'bench']"
"['tuesday', 'price', '69000', 'come', 'value', '190', '66000', 'string', 'crash', 'cryptocurrencies']"
"['california', 'make', 'year', 'pac', 'affiliate', 'goal', 'champion', 'interest', 'far', 'race']"
"['might', 'pair', 'lawsuit', 'coinbase', 'binance', 'previewed', 'cftc', 'conceal', 'access', 'binancecom']"
"['morning', 'trial', 'conviction', 'founded', 'conspiracy', 'keep', 'solvent', 'lined', 'pocket', 'make']"
"['founder', 'sentenced', 'tuesday', 'prison', 'binance', 'november', 'admitting', 'conspiracy', 'request', 'filing']"
"['cryptocurrencies', 'explanation', 'justification', 'change', 'replaced', 'surfaced', 'removed', 'ability', 'tell', 'tweet']"
"['restart', 'liquidate', 'asset', 'customer', 'wednesday', 'negotiating', 'month', 'investor', 'none', 'willing']"
"['charged', 'stealing', '1m', 'fraud', 'argued', 'carry', 'creating', 'selling', 'indxcoin', 'lord']"
"['tuesday', 'grotesque', 'barbaric', 'term', 'appropriate', 'crime', 'minute', 'report', 'recommend', 'sentence']"
"['security', 'handful', 'neyo', 'wednesday', 'charge', 'celebrity', 'part', 'three', 'sale', 'akon']"
"['jail', 'tuesday', 'stepped', 'ceo', 'binance', 'company', 'number', 'cooperated', 'court', 'received']"
"['influence', 'disappearing', 'week', 'nakamoto', 'individual', 'group', 'trigger', 'known', 'process', 'past']"
"['lawsuit', 'size', 'claimed', 'caused', '1bn', 'loss', 'genesis', 'exchange', 'dcg', 'seeking']"
"['spend', '40', 'prison', 'convicted', 'customer', 'friday', 'life', 'one', 'hubris', 'ambition']"
"['able', 'owes', 'succeeded', 'exchange', 'sold', 'might', 'excess', 'debt', 'pleased', 'position']"
"['effort', 'lawsuit', 'industry', 'ha', 'accused', 'fueling', 'shown', 'comply', 'energy', 'launched']"
"['form', 'industry', 'investing', 'process', 'betting', 'harm', 'well', 'regulated', 'aware', 'lost']"
"['moon', 'tone', 'creation', 'track', 'value', 'cryptocurrency', 'security', 'thumb', 'cue', 'demand']"
"['extremist', 'planning', 'claimed', 'thursday', 'writing', 'nonsense', 'said', 'fact', 'carried', 'linked']"
"['thursday', 'exceo', 'fraud', 'conspiracy', 'november', 'sentenced', 'signaled', 'learned', 'sentence', 'argue']"
"['ceo', 'detained', 'dubai', 'tortured', 'signing', 'guardian', 'march', 'attempting', 'fly', 'interrogation']"
"['challenged', 'uk', 'monday', 'year', 'prove', 'bitcoin', 'within', 'led', 'number', 'asking']"
"['42m', 'member', 'level', 'anonymity', 'guardian', 'connection', 'one', 'invasion', 'ukraine', 'part']"
"['cost', 'dollar', 'argues', 'ftx', 'eventually', 'paid', 'full', 'living', 'prison', 'oversee']"
"['end', 'saw', 'account', 'security', 'approval', 'price', 'bitcoin', 'spike', 'compromised', 'sec']"
"['author', 'bitcoin', 'centre', 'trial', 'began', 'monday', '53yearold', 'sued', 'group', 'forgery']"
"['lawsuit', 'binance', 'company', 'response', 'complying', 'negotiate', 'settlement', 'agency', 'aftermath', 'news']"
"['sector', 'series', 'highprofile', 'ftx', 'celebrity', 'predivorce', 'collapsed', 'end', '2022', 'tune']"
"['trial', 'le', 'year', 'scene', 'wasnt', 'bankmanfried', 'archetype', 'belief', 'expertise', 'cryptocurrency']"
"['email', 'indicating', 'attend', 'promise', 'police', 'cia', 'mossad', 'mi6', 'operation', 'carry']"
"['sentenced', 'prison', 'ordered', 'asset', 'pledge', 'appeal', 'sentence', 'day', 'penalty', 'fraud']"
"['bitcoin', 'london', 'issue', 'considered', 'evidence', 'conclusion', 'author', 'person', 'adopted', 'operated']"
"['ha', 'placed', '15m', 'share', 'transaction', 'understood', 'owned', '2', 'role', 'invasion']"
"['ceo', 'ftx', 'sentenced', 'thursday', 'judge', 'die', 'possibility', 'advance', 'justice', 'bankmanfried']"
"['overturned', 'ban', 'performing', 'given', 'exchanged', 'cryptocurrency', 'prosecutor', 'year', 'perform', 'show']"
"['article', 'state', '2029', '2021', 'figure', 'start', '2024', 'much', '1900', 'risk']"
"['founder', 'count', 'defrauding', 'customer', 'thursday', 'jury', 'conspiracy', 'prison', 'end', 'nearly']"
"['founder', 'fucked', 'calculation', 'communication', 'billionaire', 'run', 'message', 'staff', 'ftx', 'block']"
"['industry', 'dominated', 'violate', 'law', 'going', 'prevent', 'help', 'reduce', 'company', 'authority']"
"['warned', 'people', 'submission', 'territory', 'hundred', 'thousand', 'dollar', '2022', 'important', 'note']"
"['beware', 'received', 'scam', 'saw', 'cryptocurrency', 'celebrity', 'many', 'embedded', 'appear', 'advertisement']"
"['one', 'grace', 'report', 'range', 'bankmanfried', 'filed', 'delaware', 'order', 'begin', 'review']"
"['merging', 'week', 'tuesday', 'signed', 'tweet', 'bankmanfried', 'come', 'agreement', 'binance', 'deal']"
"['make', 'jury', 'thursday', 'tamped', 'portion', 'testimony', 'soon', 'yet', 'determined', 'much']"
"['research', 'victim', '2023', 'lull', '2022', 'wake', 'report', 'added', 'become', 'feature']"
"['say', 'support', 'claim', 'london', 'forgery', 'falsification', 'attacked', 'qualification', 'copa', 'coalition']"
"['platform', 'brought', 'meta', 'friday', 'forrest', 'likeness', 'wa', 'tragedy', 'advert', 'lost']"
"['website', 'trade', 'motto', 'help', 'article', 'sbf', 'wa', 'founder', 'cryptocurrency', 'ftx']"
"['wa', 'hailed', 'virtuoso', 'trial', 'collapse', 'ftx', 'accused', 'fall', 'manhattan', 'democrat']"
"['hunt', 'guard', 'alleged', '87m', 'claiming', 'developer', 'offer', 'home', 'place', 'hand']"
"['friday', 'meet', 'come', 'gaza', 'ceasefire', 'agreed', 'declaration', 'urgency', 'fighting', 'flow']"
"['trial', 'cryptocurrencys', 'near', 'end', 'begin', 'founder', 'noon', 'tuesday', 'testimony', 'cover']"
"['week', 'friday', 'back', 'court', 'monday', 'anticipates', 'trial', 'wind', 'bankmanfried', 'facing']"
"['expected', 'reveal', 'plan', 'amend', 'effort', 'ease', 'low', 'latest', 'investigation', 'podcast']"
"['risk', 'cryptocurrencies', 'follower', 'launched', 'campaign', 'watchdog', 'teamed', 'finfluencers', 'agent', 'consult']"
"['plan', 'hand', 'promised', 'million', 'pound', 'guardian', 'build', 'advertise', 'cut', 'sale']"
"['investor', 'sense', 'slower', 'shoot', 'profit', 'rival', 'filing', 'monday', '64bn', 'lower']"
"['employ', 'application', 'operate', 'uk', 'struggling', 'year', 'company', 'control', 'put', 'place']"
"['ethereum', 'plan', 'merge', 'explain', 'underpins', 'second', 'infrastructure', 'work', 'determine', 'validity']"
"['wa', 'many', 'congresspeople', 'called', 'mainstream', 'invention', 'wheel', 'miss', 'safe', 'get']"
"['pennsylvania', 'seeking', 'outcry', 'resident', 'risk', 'emission', 'production', 'cryptocurrency', 'year', 'roughly']"
"['closing', 'evening', 'founder', 'count', 'defrauding', 'customer', 'conspiracy', 'bankmanfried', 'prison', 'brought']"
"['youre', 'youngest', 'eldest', 'close', 'alongside', 'botanist', 'urge', 'break', 'control', 'done']"
"['suing', 'three', 'november', 'bahamas', 'allegation', 'extradited', 'u', 'guilty', 'charge', 'fraud']"
"['afl', 'sticking', 'caught', 'collapse', 'bankruptcy', 'value', 'withdraw', 'fund', 'platform', 'fucked']"
"['australian', 'donated', 'australia', 'head', 'become', 'covid', 'seeing', 'displaced', 'armour', 'conflict']"
"['head', 'payout', '2015', 'incident', 'recall', 'inside', 'wa', 'floor', 'year', 'returning']"
"['crash', 'collapse', 'transfer', 'washington', 'stepped', 'investigate', 'filed', 'board', 'difficult', 'platform']"
"['monday', 'month', 'warning', 'world', 'cryptocurrencies', 'operating', 'web', 'exchange', 'investment', 'effect']"
"['permission', 'dress', 'judge', 'provide', 'client', 'pair', 'slack', 'wear', 'courtroom', 'bankmanfried']"
"['us', 'worthwhile', '2021', 'ability', 'use', 'used', 'mine', 'effort', 'nvidia', 'best']"
"['malaysia', 'close', '11000', 'cash', 'attempting', 'board', 'plane', '10m', 'picked', 'error']"
"['2022', 'symbolize', 'pandemic', 'terrifying', 'vital', 'sprinkling', 'twenty', 'determined', 'get', 'job']"
"['hired', 'face', 'wednesday', 'appointed', 'would', 'relying', 'insight', 'experience', 'security', 'operating']"
"['aftershock', 'collapse', 'message', 'staff', 'swyftx', 'ftx', 'immune', 'fallout', 'potential', 'company']"
"['helm', 'ftx', 'testimony', 'defense', 'trial', 'made', 'number', 'sharing', 'version', 'rise']"
"['busted', 'role', 'relate', 'operated', 'well', 'enter', 'scheme', 'circumvent', 'focusing', 'blockchains']"
"['ethereum', 'plan', 'reduce', '99', 'merge', 'change', 'transaction', 'managed', 'public', 'underpins']"
"['tuesday', 'way', 'fall', 'bankmanfried', 'founded', 'ftx', 'courtroom', '10am', 'replaced', 'nodded']"
"['monday', 'public', 'haircut', 'weekend', 'time', 'prosecutor', 'start', 'questioning', 'show', 'best']"
"['fall', 'suspended', 'withdrawal', 'contagion', 'forced', 'shield', 'business', 'creditor', 'le', '1tn']"
"['end', 'wednesday', 'testimony', 'lifted', 'veil', 'image', 'created', 'pyramid', 'deceit', 'hulking']"
"['collapse', 'held', 'recommend', 'scrutiny', 'transfer', 'licence', 'audit', 'monday', 'acquire', 'wa']"
"['turned', 'boost', 'said', 'revealed', 'infiltrated', 'thousand', 'people', 'wa', 'used', 'behind']"
"['living', 'bread', 'water', 'provided', 'requested', 'judge', 'adderall', 'need', 'manage', 'affect']"
"['way', 'story', 'old', 'flood', 'money', 'effort', 'shape', 'size', 'ambition', 'guardian']"
"['bloodbath', 'cofounder', 'attempt', 'company', 'solana', 'well', 'turmoil', 'value', 'stake', 'wa']"
"['day', 'haircut', 'sought', 'portray', 'tried', 'best', 'defense', 'prosecution', 'bankmanfried', 'others']"
"['allow', 'sb4', 'order', 'prevented', 'state', 'enforcing', 'crossing', 'texas', 'someone', 'arrested']"
"['system', 'fit', 'purpose', 'timelimited', 'used', 'noncitizen', 'risk', 'absconding', 'recommendation', 'report']"
"['effectiveness', 'friday', 'challenge', 'heard', 'early', 'august', 'november', 'year', 'prison', 'law']"
"['address', '75m', 'investigator', 'work', 'satisfy', 'critic', 'demand', 'persecution', 'alternative', 'cross']"
"['reading', 'day', 'government', 'spent', 'decade', 'lobby', 'hotel', 'protest', 'megaphone', 'sign']"
"['document', 'authorized', 'woman', 'department', 'obgyn', 'two', 'failed', 'demonstrate', 'treatment', 'contain']"
"['resulted', 'listed', 'scale', 'criticised', 'delay', 'border', 'distribution', 'denied', 'atlas', 'operates']"
"['duelling', 'control', 'narrative', 'issue', 'heart', 'border', 'ground', 'stuck', 'gauntlet', 'extortion']"
"['charged', 'connection', 'investigation', 'death', 'child', 'trying', 'cross', 'attempting', 'arrive', 'second']"
"['need', 'department', 'able', 'deport', 'noncitizen', 'response', 'spate', 'reviewing', 'detention', 'work']"
"['succeeded', 'scuppering', 'thrown', 'motion', 'reject', 'monday', 'government', 'ha', 'majority', 'face']"
"['freed', 'released', 'driven', 'authority', 'australia', 'boat', 'wife', 'persecuted', 'could', 'forced']"
"['surprise', 'one', 'row', 'immigration', 'voter', 'determine', 'intensity', 'labour', 'indulging', 'indication']"
"['need', 'limbo', 'taskforce', 'set', 'within', 'reference', 'redacted', 'freedom', 'information', 'succeeded']"
"['u', 'chile', 'item', 'hard', 'find', '1999', 'california', 'emigrating', 'used', 'challenge']"
"['rwanda', 'speech', 'announced', 'plan', 'scrapping', 'dover', 'said', 'support', 'open', 'voted']"
"['time', 'record', 'day', 'need', 'know', 'one', 'trump', 'people', 'deported', 'signing']"
"['green', 'called', 'found', 'unscientific', 'calculate', 'behaviour', 'selfharm', 'error', 'serco', 'company']"
"['student', 'china', 'come', 'resigned', 'undo', 'sabotaging', 'government', 'well', 'effort', 'towards']"
"['life', 'detainee', 'controlled', 'opaque', 'error', 'serco', 'srat', 'meant', 'factor', 'escape']"
"['imagine', 'dictate', 'sleep', 'whether', 'forced', 'rating', 'based', 'type', 'person', 'detainee']"
"['look', 'mug', 'dont', 'get', 'train', 'manchester', 'month', '2015', 'immigration', 'set']"
"['agree', 'deal', 'democrat', 'immigration', 'think', 'border', 'thursday', 'fact', 'congresspeople', 'solve']"
"['man', 'knife', 'kill', 'preparation', 'threat', 'office', '5pm', 'pair', 'handcuff', 'roll']"
"['replaced', 'meant', 'escape', 'violence', 'episode', 'occur', 'detention', 'fluid', 'srat', 'algorithm']"
"['refused', 'say', 'level', 'migration', 'want', 'interview', 'spell', 'said', 'tell', 'shouldnt']"
"['display', 'tuesday', 'effort', 'lambasted', 'senator', 'splitscreen', 'hypocritical', 'impeachment', 'mayorkas', 'hour']"
"['chair', 'accused', 'monitor', 'year', 'sunak', 'month', 'repeated', 'hand', 'column', 'september']"
"['week', 'queen', 'thousand', 'people', 'state', 'finished', 'affecting', 'rebut', 'view', 'boost']"
"['spokesperson', 'reveal', 'role', 'article', 'blamed', 'shortage', 'number', 'family', 'founder', 'advocate']"
"['keen', 'tell', 'passing', 'came', 'framing', 'year', 'primed', 'frequently', 'granted', 'order']"
"['sunday', 'support', 'israel', 'ire', 'democrat', 'republican', 'bill', '400m', 'funding', 'go']"
"['reportedly', 'investigation', 'allegation', 'orchestrated', 'job', 'moved', 'india', 'bailed', 'time', 'alleged']"
"['ive', 'write', 'book', 'edited', '50', 'steered', 'union', 'end', 'slavery', '1863']"
"['strategy', 'get', 'overturn', 'blow', 'argument', 'immune', 'prosecution', 'capacity', 'appeal', 'israel']"
"['challenged', 'week', 'rushed', 'parliament', 'plaintiff', 's151', 'seeking', 'declaration', 'curfew', 'stay']"
"['head', 'theatre', 'provide', 'crisis', 'staging', 'die', 'advocated', 'funding', 'wa', 'contention']"
"['rise', 'number', 'enter', 'territory', 'meeting', 'stockholm', 'nordic', 'hundred', 'people', 'arrived']"
"['expected', 'sign', 'bill', 'u', 'date', 'abbott', 'signing', 'post', 'twitter', 'removal']"
"['block', 'new', 'going', 'threatening', 'state', 'sb4', 'arrest', 'person', 'purview', 'cross']"
"['thursday', 'set', 'stage', 'immigration', 'border', 'show', 'support', 'opposition', 'measure', 'join']"
"['first', 'unlawful', 'case', 'way', 'sue', 'hundred', 'thousand', 'dollar', 'compensation', 'november']"
"['released', 'legality', 'reveal', 'refuse', 'cooperate', 'deportation', 'larger', 'yet', 'could', 'freed']"
"['facing', 'resignation', 'protest', 'soulsearching', 'wednesday', 'parliament', 'contained', 'law', 'resign', 'show']"
"['battling', 'france', 'protest', 'legislation', 'midday', 'charge', 'transport', 'see', 'vote', 'attempt']"
"['distance', 'clampdown', 'seen', 'close', 'tuesday', 'would', 'curbed', 'number', 'uk', 'could']"
"['apart', 'funny', 'theyre', 'dramatic', 'sometimes', 'idea', 'better', 'credible', 'flashy', 'despite']"
"['2022', 'released', 'report', 'purpose', 'deportation', 'uk', 'supposed', 'removing', 'within', 'many']"
"['bill', 'denied', 'mp', 'tuesday', 'provoked', 'resignation', 'wednesday', 'programme', 'invited', 'elyse']"
"['triumph', 'one', 'continent', 'rotterdam', 'shrug', 'gasp', 'enough', 'delivery', 'bag', 'potato']"
"['using', 'surge', 'u', 'well', 'threaten', 'make', 'fever', 'blame', 'texas', 'america']"
"['ally', 'unable', 'make', 'referendum', 'rule', 'return', 'completed', 'appearance', 'im', 'earlier']"
"['employee', 'effective', 'office', 'forecast', 'help', 'accompany', 'measured', 'bank', 'wage', 'disagrees']"
"['reputation', 'australia', 'respondent', 'case', 'year', 'come', 'territory', 'unlawful', 'possible', 'deport']"
"['rule', 'stake', 'released', 'refusal', 'deported', 'remove', 'heard', 'settle', 'commonwealth', 'argue']"
"['ambassador', 'country', 'examine', 'migration', 'said', 'britain', 'claim', 'meeting', 'investigation', 'businessman']"
"['push', 'face', 'left', 'parliament', 'surprised', 'monday', 'even', 'debated', 'intended', 'migration']"
"['change', 'rule', 'visa', 'overhaul', 'call', 'return', 'effect', 'migration', 'job', 'housing']"
"['forced', 'choose', 'separating', 'leaving', 'uk', 'subject', 'million', 'people', 'parent', 'asking']"
"['report', 'arrested', 'connection', 'thursday', 'queensland', 'wa', 'warrant', 'return', 'jail', 'placed']"
"['fix', 'addressed', 'latest', 'series', 'year', 'stop', 'boat', 'closer', 'satisfies', 'party']"
"['arrested', 'melbourne', 'comply', 'curfew', 'statement', 'alleged', 'failing', 'observe', 'charged', 'change']"
"['government', 'charge', 'conceding', 'got', 'friday', 'rely', 'coalition', 'extraordinary', 'deleted', 'released']"
"['article', 'border', 'adult', 'put', 'place', 'moving', 'wrote', 'tuesday', '2017', 'mistreated']"
"['inherited', 'bring', 'necessary', 'come', 'pressure', 'right', 'party', 'reduce', 'number', 'uk']"
"['immigration', 'resign', 'result', 'weekend', 'statement', 'one', 'charged', 'released', 'monday', 'allow']"
"['reported', 'turn', 'police', 'england', 'wale', 'survivor', 'abuse', 'reform', 'system', 'threat']"
"['located', 'man', 'read', 'individual', 'complied', 'say', 'condition', 'response', 'question', 'agency']"
"['majority', 'impact', 'immigration', 'economic', 'undergone', 'favourable', '2016', 'rank', 'good', 'enriched']"
"['clamp', 'immigration', 'conceded', 'face', 'obviously', 'lot', 'reduce', 'running', 'failing', 'honour']"
"['apologise', 'break', 'minister', 'difference', 'number', 'live', 'uk', 'leaving', 'peaked', '745000']"
"['manston', 'bussed', 'plug', 'guard', 'made', 'kent', 'day', 'time', 'part', 'disclosed']"
"['proposal', 'meant', 'stop', 'boat', 'running', 'trouble', 'expected', 'make', 'statement', 'plan']"
"['left', 'search', 'quality', 'longer', 'reach', 'stateside', 'condo', 'two', 'intimate', 'without']"
"['mp', 'interview', 'spectator', 'want', 'accused', 'come', 'pressure', 'medium', 'asked', 'said']"
"['parliament', 'respond', 'unlawful', 'government', 'power', 'released', 'breach', 'favour', 'court', 'detaining']"
"['relied', 'declaring', 'succeed', 'deporting', 'contained', 'freedom', 'legality', 'fire', 'refusing', 'release']"
"['result', 'senate', 'wa', 'dandenong', 'tuesday', 'man', 'afternoon', 'statement', 'police', 'charged']"
